datetime,open,high,low,close,volume
1.64095E+12,1061.7,1064.39,1061.7,1064.39,2001
1.64095E+12,1064.39,1064.39,1064,1064,822
1.64095E+12,1063.41,1063.52,1063,1063,2162
1.64095E+12,1062.5,1062.5,1062.5,1062.5,118
1.64095E+12,1063.9,1064,1063.9,1064,1220
1.64095E+12,1064,1064,1064,1064,219
1.64095E+12,1064.46,1065,1064.46,1065,1039
1.64095E+12,1065.3,1065.88,1065.3,1065.48,3095
1.64095E+12,1065.88,1065.88,1065.8,1065.8,1169
1.64095E+12,1065.88,1066.48,1065.88,1066,1899
1.64095E+12,1066,1066.01,1066,1066,531
1.64095E+12,1065,1065,1065,1065,150
1.64095E+12,1064.5,1064.5,1064.5,1064.5,200
1.64095E+12,1065,1065,1065,1065,108
1.64095E+12,1065,1065,1065,1065,100
1.64095E+12,1065,1065,1065,1065,200
1.64095E+12,1064.5,1064.5,1064.5,1064.5,100
1.64095E+12,1064.24,1064.24,1064.24,1064.24,185
1.64095E+12,1064.25,1064.25,1064.25,1064.25,200
1.64095E+12,1064.5,1064.5,1064.5,1064.5,220
1.64095E+12,1065.48,1066.48,1065.48,1066.48,1399
1.64095E+12,1066.43,1066.48,1066.43,1066.48,498
1.64095E+12,1066,1066,1066,1066,200
1.64095E+12,1065.9,1065.92,1065.9,1065.92,1879
1.64095E+12,1066.48,1066.48,1066.48,1066.48,100
1.64095E+12,1066,1066,1066,1066,593
1.64096E+12,1066.48,1066.48,1066.48,1066.48,583
1.64096E+12,1065.7,1065.7,1065.7,1065.7,100
1.64096E+12,1066,1066,1066,1066,1402
1.64096E+12,1066.48,1066.77,1066.48,1066.76,1776
1.64096E+12,1066.7,1066.7,1066.7,1066.7,145
1.64096E+12,1066.5,1066.5,1066.5,1066.5,477
1.64096E+12,1066.39,1066.39,1066,1066,3100
1.64096E+12,1066.45,1066.45,1066,1066,308
1.64096E+12,1066.5,1066.5,1065.61,1065.61,300
1.64096E+12,1065.84,1065.84,1065.84,1065.84,534
1.64096E+12,1066.49,1066.77,1066.48,1066.77,2861
1.64096E+12,1066.5,1067.28,1066.5,1067.28,3143
1.64096E+12,1066.78,1066.96,1066.78,1066.96,1533
1.64096E+12,1066.98,1067.11,1066.98,1067.11,740
1.64096E+12,1067.2,1067.28,1067.2,1067.28,1577
1.64096E+12,1067.3,1067.72,1067.14,1067.72,2894
1.64096E+12,1067.72,1067.84,1067.72,1067.84,4435
1.64096E+12,1067.7,1067.7,1067.7,1067.7,186
1.64096E+12,1067.84,1067.84,1067.84,1067.84,1790
1.64096E+12,1067.55,1067.75,1067.55,1067.75,410
1.64096E+12,1067.62,1067.62,1067.62,1067.62,100
1.64096E+12,1067.25,1067.25,1067,1067,1389
1.64096E+12,1067.61,1067.61,1067.61,1067.61,100
1.64096E+12,1067.5,1067.8,1067.5,1067.8,330
1.64096E+12,1067.84,1067.84,1067.04,1067.75,325
1.64096E+12,1067.7,1067.8,1067.7,1067.75,1320
1.64096E+12,1068,1068.88,1068,1068.88,3846
1.64096E+12,1068.88,1069.18,1068.88,1069.18,1897
1.64096E+12,1069,1069.18,1068.89,1069,817
1.64096E+12,1069,1069.44,1069,1069.42,1656
1.64096E+12,1069.44,1069.44,1069.44,1069.44,100
1.64096E+12,1069.5,1069.67,1069.5,1069.66,1280
1.64096E+12,1069.5,1069.5,1069.5,1069.5,282
1.64096E+12,1069.6,1070.16,1069.3001,1070.16,1955
1.64096E+12,1070.16,1071.8,1070.16,1071.8,2122
1.64096E+12,1071.22,1071.23,1071,1071.0001,4027
1.64096E+12,1071.23,1072.97,1071.23,1072.97,2567
1.64096E+12,1073,1075,1073,1074.79,4902
1.64096E+12,1075,1075.69,1074.7701,1075.39,2494
1.64096E+12,1074.7,1074.97,1074,1074,1883
1.64096E+12,1073.8,1075.64,1073.8,1075.64,1147
1.64096E+12,1075,1076,1074.48,1074.49,3506
1.64096E+12,1074.9,1075.6,1074.85,1075.6,1613
1.64096E+12,1075.52,1077.5,1075.52,1077.5,3925
1.64096E+12,1077.8,1077.8,1076,1076.94,3214
1.64096E+12,1076.94,1077.34,1076,1076.03,1301
1.64096E+12,1076.03,1076.52,1076,1076,1464
1.64096E+12,1076.87,1078,1076.79,1078,1368
1.64096E+12,1078,1078.02,1077.51,1077.51,2765
1.64096E+12,1077,1077.98,1077,1077.74,1421
1.64096E+12,1077.7,1077.75,1077.5,1077.5,944
1.64096E+12,1077.02,1077.05,1076,1077,2322
1.64096E+12,1076.71,1077,1076.71,1077,620
1.64096E+12,1077.74,1078.4,1077.74,1078.4,1318
1.64096E+12,1078.11,1078.11,1077.89,1077.89,2045
1.64096E+12,1077.15,1077.15,1077.15,1077.15,656
1.64096E+12,1077.4,1077.89,1076.62,1076.62,3234
1.64096E+12,1076.12,1076.95,1076,1076,1290
1.64096E+12,1075.52,1076,1075.52,1076,431
1.64096E+12,1076.47,1076.47,1076.1,1076.1,357
1.64096E+12,1076.5,1076.79,1076.21,1076.21,939
1.64096E+12,1076,1076.5,1076,1076.44,2605
1.64096E+12,1076.5,1076.5,1076.05,1076.47,816
1.64096E+12,1076,1076.49,1076,1076.49,1055
1.64096E+12,1076.06,1076.06,1076,1076,1476
1.64096E+12,1075.96,1075.96,1074.99,1074.99,3152
1.64096E+12,1074.5,1074.9036,1073.01,1073.01,1196
1.64096E+12,1073.0566,1074.79,1073.0566,1074.79,857
1.64096E+12,1073.22,1073.9,1073.22,1073.44,2544
1.64096E+12,1073.21,1073.79,1073,1073.19,1152
1.64096E+12,1073.15,1073.15,1072.09,1072.1525,1933
1.64096E+12,1072.99,1072.99,1071.03,1071.52,1381
1.64096E+12,1071.01,1072.75,1071.01,1072.75,4242
1.64096E+12,1073,1073.5,1072.8,1073.5,5534
1.64096E+12,1073.89,1074,1073.88,1074,1532
1.64096E+12,1073.844,1074.603,1073,1073,2668
1.64096E+12,1073.99,1073.99,1073.51,1073.99,600
1.64096E+12,1074.7847,1075,1074.5,1074.9999,1490
1.64096E+12,1074.5,1074.5,1074,1074.47,925
1.64096E+12,1074.3,1075.0101,1074.3,1075,1237
1.64096E+12,1075.47,1075.47,1074.3107,1075,1795
1.64096E+12,1075.49,1075.93,1075.48,1075.93,1345
1.64096E+12,1075.53,1075.53,1074.1,1074.1,3755
1.64096E+12,1074.85,1075.25,1074.81,1075.25,1221
1.64096E+12,1074.5729,1075.5,1074.5729,1075.5,800
1.64096E+12,1074.65,1074.65,1073.85,1074.1,1500
1.64096E+12,1073.75,1073.97,1073.21,1073.61,944
1.64096E+12,1073.4444,1074.0399,1070,1071.14,121626
1.64096E+12,1070.615,1078.1,1070.615,1076.1147,77887
1.64096E+12,1075.6832,1081.9999,1075.6832,1079.015,109630
1.64096E+12,1079.4,1081,1078.334,1079,51651
1.64096E+12,1078.5001,1080.25,1077,1079.9943,40317
1.64096E+12,1079.9394,1080.48,1075,1077.12,38487
1.64096E+12,1077.0629,1077.0629,1074.0101,1075,36157
1.64096E+12,1074.79,1079.98,1074.0101,1077.005,39059
1.64096E+12,1077,1079.28,1076.63,1077.1003,27587
1.64096E+12,1077.19,1080.86,1077.17,1078.6953,28427
1.64096E+12,1078.4654,1079.9299,1077.5001,1077.5512,22018
1.64096E+12,1077.82,1078.9499,1075.2801,1077.19,22552
1.64096E+12,1077.32,1078.5699,1075.5,1076.89,24315
1.64096E+12,1076.5203,1079,1075.61,1075.88,33119
1.64096E+12,1076.2081,1077.09,1073.33,1073.5526,25821
1.64096E+12,1074.14,1076.8,1073.55,1074.9721,26880
